# nband 2
# f090w f115w ra    dec   q    pa    n rh
  8.0   7.5   10.0  10.0  0.7   45.0  2.  0.1
  4.0   5.0   10.0  16.0  0.5   60.0  4.  0.15
  3.0   6.0   18.0  16.0  0.8   30.0  3.  0.05
# dithers dx dy
0.0 0.0
-2.5 0.0
-2.5 -2.5
# end


0.0 -2.5
-5.0 -5.0
-2.5 -5.0
# nband 5
# f090w f115w f150w f200w f277w ra    dec   q    pa    n rh
  8.0   7.5   6.0   5.5   5.5   10.0  10.0  0.7   45.0  2.  0.1
  4.0   5.0   5.5   6.5   10.0  10.0  14.0  0.5   60.0  3.  0.05
  3.0   6.0   6.5   6.75  9.0   18.0  16.0  0.8   30.0  4.  0.15
